gene_id	transcript_id(s)	3h_Sal-Brk-dark_2	3h_Sal-Brk-dark_3	3h_Sal-Brk-light_2	3h_Sal-Brk-light_3	3h_Ubi-Brk-light_2	3h_Ubi-Brk-light_3
FBgn0000319	FBtr0074179,FBtr0074180,FBtr0074181,FBtr0074182,FBtr0112797,FBtr0112798,FBtr0339445	36367.00	27766.00	36877.00	31194.00	37182.00	36682.00
FBgn0000320	FBtr0079334,FBtr0079335,FBtr0306113	546.00	450.00	653.00	583.00	795.00	820.00
FBgn0000326	FBtr0071687	1605.00	1320.00	1737.00	1510.00	1732.00	1632.00
FBgn0000330	FBtr0071033,FBtr0332315	2890.00	2749.00	2853.00	3215.00	2734.00	2597.00
FBgn0000337	FBtr0344723	1.00	1.00	0.00	0.00	1.00	1.00
FBgn0000339	FBtr0080848,FBtr0080849,FBtr0337082	2067.00	2398.00	2328.00	2298.00	2645.00	2284.00
FBgn0000346	FBtr0073754,FBtr0333329	804.00	818.00	889.00	712.00	845.00	790.00
FBgn0000351	FBtr0079320,FBtr0333350	374.00	425.00	396.00	428.00	433.00	453.00
FBgn0000352	FBtr0089015,FBtr0336916	6229.00	5104.00	6135.00	5639.00	6053.00	6085.00
FBgn0000355	FBtr0076572	0.00	0.00	0.00	0.00	1.00	0.00
FBgn0000356	FBtr0076574	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0000357	FBtr0076571	11.00	25.00	12.00	13.00	3.00	8.00
FBgn0000358	FBtr0076573	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0000359	FBtr0071203	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0000360	FBtr0071204,FBtr0300448	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0000370	FBtr0081512,FBtr0081513,FBtr0332001,FBtr0332002	36707.99	38303.02	42998.27	40670.78	42019.76	43676.06
FBgn0000376	FBtr0070495,FBtr0070496	2369.00	2299.00	2909.00	2469.00	3002.00	3055.00
FBgn0000377	FBtr0070418	4332.00	4076.00	4437.00	4527.00	4533.00	4428.00
FBgn0000382	FBtr0070378,FBtr0070379,FBtr0070380,FBtr0333260	3572.00	3831.00	4286.00	4125.00	3868.00	4135.00
FBgn0000384	FBtr0111126,FBtr0334157	3083.09	3051.89	3514.60	3281.51	3744.11	3845.24
FBgn0000392	FBtr0290322,FBtr0346452	167.72	143.25	177.72	167.13	216.93	198.83
FBgn0000394	FBtr0070804,FBtr0340464,FBtr0340465	2492.00	3005.00	3044.00	2970.00	3075.00	2743.00
FBgn0000395	FBtr0071610	1188.00	1897.00	1672.00	1280.00	1109.00	1570.00
FBgn0000404	FBtr0076075,FBtr0304650	15167.00	13138.00	14117.00	14602.00	14035.00	12871.00
FBgn0000405	FBtr0071911,FBtr0071913,FBtr0071914,FBtr0309858	18733.00	18464.00	18168.00	19543.00	16895.00	16054.00
FBgn0000406	FBtr0080932,FBtr0331931	35.00	31.00	18.00	11.00	2.00	3.00
FBgn0000411	FBtr0075746,FBtr0333034,FBtr0333035,FBtr0333036	10.00	16.00	7.00	8.00	22.00	7.00
FBgn0000412	FBtr0081987,FBtr0081988,FBtr0301524	43766.00	51822.00	51777.00	55100.00	50486.00	48892.00
FBgn0000414	FBtr0075318,FBtr0305084,FBtr0305085,FBtr0305086,FBtr0330189,FBtr0330190,FBtr0333625,FBtr0333626	5158.00	4226.00	5423.00	4673.00	5731.00	5971.00
FBgn0000416	FBtr0085713,FBtr0085714	17653.00	20505.00	24189.00	21881.00	26409.00	25480.00
FBgn0000422	FBtr0081166,FBtr0081167,FBtr0290291	27.00	29.00	42.00	35.00	24.00	52.00
FBgn0000426	FBtr0088010	3702.00	4097.00	3691.00	4214.00	3526.00	3571.00
FBgn0000427	FBtr0071145,FBtr0071146,FBtr0071147,FBtr0309795,FBtr0309796,FBtr0310269	0.00	0.00	2.00	3.00	1.00	3.00
FBgn0000439	FBtr0081621	0.00	0.00	1.00	1.00	0.00	0.00
FBgn0000442	FBtr0078042	3.00	0.00	1.00	2.00	3.00	3.00
FBgn0000447	FBtr0081890,FBtr0300442	5666.00	5743.00	6011.00	5804.00	6050.00	5882.00
FBgn0000448	FBtr0088366,FBtr0088368,FBtr0112799,FBtr0306345,FBtr0330609,FBtr0452140	4.58	9.32	11.86	20.30	14.89	25.47
FBgn0000449	FBtr0073205	50.00	57.00	71.00	41.00	40.00	49.00
FBgn0000451	FBtr0076305,FBtr0076307,FBtr0301385,FBtr0331551,FBtr0339899	72.00	41.00	57.00	103.00	63.00	71.00
FBgn0000454	FBtr0082831,FBtr0082832,FBtr0082833,FBtr0345229	8103.00	7461.00	8430.00	8074.00	8279.00	7819.00
FBgn0000455	FBtr0082597,FBtr0344982	1713.00	1781.00	1895.00	1959.00	2117.00	2056.00
FBgn0000459	FBtr0074250,FBtr0100384	40.00	145.00	125.00	84.00	162.00	195.00
FBgn0000463	FBtr0083739,FBtr0083740,FBtr0304658	7977.00	9834.00	11906.00	9864.00	14293.00	14067.00
FBgn0000464	FBtr0081260,FBtr0112800,FBtr0305950,FBtr0331239,FBtr0331240,FBtr0331241,FBtr0331242	4411.52	4420.59	5356.58	4664.97	5330.58	5881.57
FBgn0000473	FBtr0086133	18.00	8.00	18.00	15.00	23.00	44.00
FBgn0000477	FBtr0083538	6.00	13.00	3.00	1.00	7.00	1.00
FBgn0000479	FBtr0070509,FBtr0070511,FBtr0070512,FBtr0070513,FBtr0070515,FBtr0070517,FBtr0070518,FBtr0070519,FBtr0070520,FBtr0070521,FBtr0070522,FBtr0333312,FBtr0333313,FBtr0333314,FBtr0333315,FBtr0333316,FBtr0333317	937.00	1310.00	1468.00	1199.00	1484.00	1644.00
FBgn0000482	FBtr0070269	1996.00	1777.00	2183.00	2094.00	2180.00	2383.00
FBgn0000489	FBtr0075528,FBtr0075529	70.00	55.00	415.00	117.00	139.00	417.00
FBgn0000490	FBtr0077771,FBtr0077772,FBtr0077773,FBtr0077775	5035.00	5539.00	5196.00	5139.00	6186.00	5756.00
FBgn0000492	FBtr0085441	5279.00	6623.00	6344.00	6855.00	5000.00	5912.00
FBgn0000499	FBtr0073454	3796.00	3639.00	3969.00	3963.00	3871.00	4030.00
FBgn0000500	FBtr0078989	4.00	2.00	0.00	1.00	0.00	1.00
FBgn0000504	FBtr0081759,FBtr0081760,FBtr0081761,FBtr0330073,FBtr0330074,FBtr0339710	1818.00	1954.00	2530.00	2316.00	2540.00	2600.00
FBgn0000520	FBtr0070487	1471.00	1760.00	1736.00	1791.00	1669.00	1636.00
FBgn0000524	FBtr0070914	6482.00	5333.00	7006.00	6265.00	6687.00	7209.00
FBgn0000527	FBtr0084106	5.00	1.00	2.00	3.00	2.00	4.00
FBgn0000529	FBtr0089320,FBtr0343855	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0000533	FBtr0083083,FBtr0334588	2584.00	3249.00	2706.00	3066.00	3519.00	2782.00
FBgn0000535	FBtr0073955,FBtr0111009,FBtr0303285,FBtr0303286,FBtr0310014,FBtr0310015,FBtr0310016	1.00	0.00	0.00	1.00	2.00	4.00
FBgn0000536	FBtr0074211,FBtr0074212,FBtr0074214,FBtr0308617,FBtr0308618,FBtr0308619,FBtr0343519,FBtr0343520	2509.00	2537.00	2525.00	2980.00	2926.00	2841.00
FBgn0000541	FBtr0072521,FBtr0072522,FBtr0072523,FBtr0301348,FBtr0301349,FBtr0332101,FBtr0332102,FBtr0332103,FBtr0332104	21169.00	14780.00	19252.00	17651.00	19345.00	18885.00
FBgn0000542	FBtr0070606,FBtr0112801,FBtr0112802	21972.00	20622.00	24943.00	22324.00	26597.00	27382.00
FBgn0000543	FBtr0072903	3322.00	3450.00	3786.00	3814.00	3487.00	3609.00
FBgn0000546	FBtr0086008,FBtr0086009,FBtr0086010,FBtr0086011,FBtr0086012,FBtr0302439	9806.00	8103.00	9046.00	8424.00	10881.00	9534.00
